team,p_advance_r32,p_advance_r16,p_advance_qf,p_advance_sf,p_reach_final,p_win_tournament,expected_stage,n_sims
Brazil,0.9072,0.6662,0.4646,0.3782,0.2459,0.1757,2.8378,10000
Argentina,0.9232,0.5746,0.3592,0.2793,0.1658,0.1111,2.4132,10000
France,0.8972,0.5718,0.3641,0.2241,0.1432,0.0965,2.2969,10000
England,0.8423,0.541,0.3396,0.1914,0.1166,0.0751,2.106,10000
Spain,0.8704,0.5338,0.3137,0.1858,0.1102,0.0685,2.0824,10000
Portugal,0.8521,0.5077,0.2871,0.1676,0.1035,0.0614,1.9794,10000
Germany,0.8572,0.5013,0.2914,0.1631,0.0976,0.0561,1.9667,10000
Netherlands,0.7831,0.4581,0.2608,0.1328,0.0764,0.0413,1.7525,10000
Belgium,0.7868,0.424,0.2088,0.1112,0.0622,0.0297,1.6227,10000
Uruguay,0.7122,0.4005,0.1855,0.1154,0.0593,0.0294,1.5023,10000
Japan,0.83,0.4996,0.3016,0.1805,0.0824,0.0271,1.9212,10000
Croatia,0.7499,0.394,0.1978,0.0973,0.0544,0.0266,1.52,10000
Austria,0.849,0.5206,0.3231,0.1775,0.0802,0.023,1.9734,10000
Denmark,0.7044,0.3421,0.163,0.0675,0.0376,0.0178,1.3324,10000
Colombia,0.6494,0.3449,0.1527,0.089,0.0438,0.0165,1.2963,10000
Serbia,0.6298,0.3131,0.1405,0.062,0.0325,0.013,1.1909,10000
Mexico,0.7464,0.4547,0.2582,0.0814,0.0303,0.0114,1.5824,10000
Senegal,0.7224,0.3679,0.1857,0.0947,0.0381,0.0101,1.4189,10000
Ivory Coast,0.7231,0.3735,0.1885,0.0947,0.0388,0.0098,1.4284,10000
Iran,0.79,0.4328,0.2322,0.1138,0.043,0.0096,1.6214,10000
Ecuador,0.7276,0.4279,0.2294,0.0677,0.0234,0.0094,1.4854,10000
South Korea,0.7247,0.3664,0.1774,0.0878,0.0323,0.0087,1.3973,10000
United States,0.8453,0.4404,0.2385,0.0657,0.0203,0.0078,1.618,10000
Morocco,0.5977,0.2581,0.1056,0.0441,0.0207,0.0074,1.0336,10000
Canada,0.6782,0.3799,0.1836,0.0556,0.0184,0.0063,1.322,10000
Turkey,0.5636,0.2346,0.093,0.0395,0.0186,0.0062,0.9555,10000
Chile,0.6012,0.2192,0.0735,0.0345,0.0139,0.0055,0.9478,10000
Ghana,0.6948,0.3171,0.1396,0.0567,0.0197,0.0046,1.2325,10000
Slovenia,0.7067,0.3471,0.1589,0.0694,0.0216,0.004,1.3077,10000
Nigeria,0.6212,0.2774,0.1177,0.0514,0.0173,0.0034,1.0884,10000
Egypt,0.6172,0.2787,0.1151,0.0512,0.0171,0.003,1.0823,10000
Saudi Arabia,0.6131,0.2593,0.1072,0.0449,0.0147,0.0028,1.042,10000
Uzbekistan,0.6501,0.2785,0.1192,0.0447,0.0124,0.0026,1.1075,10000
Australia,0.5795,0.2003,0.0661,0.0266,0.0092,0.0025,0.8842,10000
Paraguay,0.3807,0.1435,0.0439,0.0195,0.0074,0.0024,0.5974,10000
Venezuela,0.5416,0.2541,0.1036,0.0243,0.0061,0.002,0.9317,10000
Peru,0.5487,0.1869,0.0581,0.0233,0.0097,0.0019,0.8286,10000
Algeria,0.4055,0.1555,0.0547,0.0183,0.0075,0.0018,0.6433,10000
South Africa,0.5962,0.2476,0.0901,0.0345,0.0116,0.0017,0.9817,10000
Iraq,0.5066,0.1862,0.0633,0.0207,0.0066,0.0011,0.7845,10000
Panama,0.6885,0.2632,0.1021,0.0219,0.0051,0.001,1.0818,10000
Bolivia,0.6272,0.2045,0.0711,0.0139,0.0034,0.0009,0.921,10000
Jordan,0.548,0.2058,0.0755,0.024,0.0052,0.0008,0.8593,10000
Cameroon,0.3686,0.1136,0.0374,0.0126,0.0049,0.0008,0.5379,10000
Jamaica,0.5083,0.1751,0.0562,0.017,0.0045,0.0007,0.7618,10000
Georgia,0.3504,0.1056,0.0298,0.008,0.0031,0.0006,0.4975,10000
Tunisia,0.3561,0.109,0.0335,0.0107,0.0031,0.0004,0.5128,10000
New Zealand,0.5266,0.1423,0.0378,0.0042,0.0004,0.0,0.7113,10000
