team,p_advance_r32,p_advance_r16,p_advance_qf,p_advance_sf,p_reach_final,p_win_tournament,expected_stage,n_sims
Spain,0.9522,0.7409,0.5279,0.3703,0.2497,0.1618,3.0028,10000
Argentina,0.9192,0.6771,0.4714,0.3145,0.2011,0.1276,2.7109,10000
France,0.8741,0.6284,0.4283,0.2825,0.1731,0.1049,2.4913,10000
Brazil,0.9159,0.633,0.4078,0.2455,0.1399,0.0803,2.4224,10000
England,0.8874,0.6131,0.3926,0.2375,0.1402,0.0754,2.3462,10000
Portugal,0.8184,0.5374,0.3248,0.1845,0.1019,0.0523,2.0193,10000
Netherlands,0.8691,0.5494,0.3132,0.1753,0.0944,0.0459,2.0473,10000
Germany,0.8446,0.5098,0.2866,0.1519,0.0712,0.0327,1.8968,10000
Belgium,0.8643,0.5185,0.2788,0.1395,0.0652,0.0295,1.8958,10000
Senegal,0.7307,0.4355,0.2447,0.1295,0.0651,0.029,1.6345,10000
Morocco,0.8254,0.4781,0.2542,0.1293,0.0614,0.0272,1.7756,10000
Colombia,0.7696,0.4562,0.2572,0.1382,0.065,0.0271,1.7133,10000
Ecuador,0.8098,0.4532,0.2401,0.1167,0.0561,0.0248,1.7007,10000
Algeria,0.7668,0.4403,0.2373,0.1207,0.0589,0.0221,1.6461,10000
Uruguay,0.8093,0.4535,0.2338,0.1144,0.0527,0.0218,1.6855,10000
Croatia,0.7667,0.4379,0.2269,0.1094,0.0479,0.0205,1.6093,10000
Turkey,0.8149,0.4416,0.2224,0.1033,0.0415,0.0161,1.6398,10000
Switzerland,0.891,0.462,0.2099,0.0882,0.034,0.0138,1.6989,10000
Japan,0.7589,0.3896,0.1802,0.0788,0.0343,0.0126,1.4544,10000
Ivory Coast,0.7298,0.3556,0.1642,0.07,0.0256,0.0088,1.354,10000
United States,0.72,0.339,0.1421,0.0524,0.0181,0.0076,1.2792,10000
Uzbekistan,0.6109,0.2899,0.1298,0.0573,0.0212,0.007,1.1161,10000
Norway,0.5831,0.2823,0.1305,0.0569,0.0232,0.0063,1.0823,10000
Panama,0.6402,0.2975,0.1262,0.0479,0.0169,0.0061,1.1348,10000
Iraq,0.4869,0.211,0.0854,0.0318,0.0106,0.0043,0.83,10000
South Korea,0.7433,0.3247,0.1274,0.043,0.0129,0.0036,1.2549,10000
Sweden,0.6207,0.2599,0.1023,0.0373,0.0123,0.0035,1.036,10000
DR Congo,0.4789,0.199,0.0786,0.0265,0.0092,0.0032,0.7954,10000
Canada,0.773,0.2918,0.1008,0.0294,0.0075,0.0026,1.2051,10000
Austria,0.5527,0.2359,0.0968,0.0344,0.0111,0.0026,0.9335,10000
Egypt,0.628,0.2458,0.0861,0.0282,0.0082,0.0026,0.9989,10000
Iran,0.592,0.2204,0.0783,0.0246,0.0072,0.0022,0.9247,10000
Paraguay,0.6007,0.2341,0.0803,0.0282,0.008,0.0022,0.9535,10000
Mexico,0.6745,0.2606,0.0928,0.0277,0.008,0.0021,1.0657,10000
Czechia,0.608,0.2016,0.0655,0.0173,0.0049,0.0016,0.8989,10000
South Africa,0.6801,0.2627,0.0882,0.0263,0.0073,0.0016,1.0662,10000
Australia,0.5593,0.1935,0.0628,0.0188,0.0065,0.0016,0.8425,10000
New Zealand,0.5916,0.2219,0.0829,0.0248,0.0067,0.001,0.9289,10000
Jordan,0.4055,0.1365,0.0469,0.0144,0.0042,0.0008,0.6083,10000
Cape Verde,0.508,0.1618,0.0506,0.0135,0.0037,0.0007,0.7383,10000
Ghana,0.3774,0.1144,0.0349,0.0092,0.0025,0.0006,0.539,10000
Scotland,0.4775,0.1599,0.0476,0.0132,0.0035,0.0006,0.7023,10000
Haiti,0.4164,0.1298,0.0379,0.0099,0.0013,0.0004,0.5957,10000
Qatar,0.5301,0.1291,0.0285,0.0061,0.0016,0.0004,0.6958,10000
Tunisia,0.4221,0.1336,0.0403,0.0096,0.0029,0.0004,0.6089,10000
Curacao,0.2997,0.067,0.0161,0.0042,0.0005,0.0001,0.3876,10000
Saudi Arabia,0.3386,0.0803,0.018,0.0032,0.0005,0.0001,0.4407,10000
Bosnia and Herzegovina,0.4627,0.1049,0.0201,0.0039,0.0003,0.0,0.5919,10000
